phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.7,18,25,0.13230412360158703,0.132304123601587,2.781125385737529e-17,0.13230412360158703,0.13230412360158703,0.0,0.0
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.9,22,25,0.13230412360158703,0.132304123601587,2.781125385737529e-17,0.13230412360158703,0.13230412360158703,0.0,0.0
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.5,12,25,0.08984590962316494,0.09901393896989441,0.04345865086809701,0.050064997706134276,0.15431549985713458,0.04098726114621481,0.06446959023396964
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.7,18,25,0.08984590962316494,0.09753993917617529,0.03170675360965968,0.06706699574908534,0.14681183271876816,0.025432449940929566,0.05696592309560322
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.9,22,25,0.08984590962316494,0.09097335664504282,0.01748014461397172,0.07463219250898888,0.1441255593981986,0.009105102762182817,0.05427964977503366
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.5,12,25,0.07912417772810887,0.0925003866681879,0.04118094876367417,0.050064997706134276,0.13230412360158703,0.04150549520135044,0.05317994587347816
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.7,18,25,0.07912417772810887,0.08402864899073577,0.028672640997866393,0.06706699574908534,0.13230412360158703,0.02274910059158173,0.05317994587347816
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.9,22,25,0.07912417772810887,0.08016869789387829,0.017023727393013503,0.07463219250898888,0.13230412360158703,0.009166029441938374,0.05317994587347816
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.5,12,25,0.11619340634215579,0.1250087371468379,0.05447543338808186,0.06465997354270905,0.21576155314815434,0.038180834487749206,0.09956814680599856
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.7,18,25,0.11619340634215579,0.11926100390965201,0.03247026363849864,0.09450864400953908,0.21576155314815434,0.026313662788061343,0.09956814680599856
